epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0332,1.78529,3.41999,1.43863,0.01278,0.74194,0.13681,0.06531,1.86433,3.12153,1.40299,4e-05,4e-05,4e-05
2,46.9985,1.65952,3.30352,1.39246,0.01556,0.90323,0.35141,0.17924,1.52551,3.02644,1.24684,9.802e-05,9.802e-05,9.802e-05
3,69.5818,1.48325,2.84641,1.25967,0.01667,0.96774,0.79821,0.40841,1.33332,2.79958,1.10276,0.000153664,0.000153664,0.000153664
4,91.0296,1.59272,2.08594,1.20801,0.01667,0.96774,0.76198,0.3675,1.48292,2.6886,1.11924,0.000206932,0.000206932,0.000206932
5,112.488,1.42965,1.6583,1.12739,1,0.6864,0.81798,0.41455,1.44748,2.51093,1.08841,0.000257824,0.000257824,0.000257824
6,133.851,1.44348,1.62893,1.20162,0.97037,0.77419,0.82626,0.44527,1.3551,2.49423,1.07146,0.00030634,0.00030634,0.00030634
7,154.87,1.3063,1.37661,1.15969,0.03716,0.96774,0.74084,0.42927,1.30523,2.57896,1.10192,0.00035248,0.00035248,0.00035248
8,176.585,1.32123,1.40644,1.15125,0.01722,1,0.75496,0.43445,1.25492,2.62116,1.11643,0.000396244,0.000396244,0.000396244
9,198.047,1.29954,1.35731,1.12126,0.01722,1,0.77396,0.43802,1.19464,2.6403,1.09273,0.000437632,0.000437632,0.000437632
10,218.859,1.3027,1.25195,1.16261,0.01722,1,0.76507,0.45957,1.21547,2.60563,1.11442,0.000476644,0.000476644,0.000476644
11,239.405,1.30089,1.19565,1.19243,0.01722,1,0.80931,0.52356,1.28007,2.54629,1.21052,0.00051328,0.00051328,0.00051328
12,261.249,1.27036,1.18984,1.14629,0.01722,1,0.81504,0.5076,1.28606,2.55351,1.22686,0.00054754,0.00054754,0.00054754
13,282.384,1.31376,1.06693,1.14458,0.01722,1,0.73886,0.41636,1.28083,2.55602,1.19244,0.000579424,0.000579424,0.000579424
14,303.38,1.38304,1.147,1.18891,0.01722,1,0.7354,0.41449,1.32854,2.56614,1.23338,0.000608932,0.000608932,0.000608932
15,324.849,1.28921,1.10834,1.12518,0.01722,1,0.66349,0.35344,1.26065,2.58903,1.24248,0.000636064,0.000636064,0.000636064
16,346.403,1.18466,1.01955,1.07865,0.03219,0.83871,0.7488,0.41213,1.27768,2.46174,1.26211,0.00066082,0.00066082,0.00066082
17,367.728,1.1428,1.01333,1.07321,0.93462,0.46156,0.81365,0.46884,1.3221,2.22879,1.32634,0.0006832,0.0006832,0.0006832
18,389.116,1.1788,1.03121,1.12251,1,0.46554,0.8639,0.51366,1.27032,2.14473,1.25892,0.000703204,0.000703204,0.000703204
19,410.086,1.0844,0.99117,1.07653,1,0.622,0.91967,0.54791,1.28344,2.22027,1.24049,0.000720832,0.000720832,0.000720832
20,431.264,1.23078,0.99399,1.11973,0.93812,0.83871,0.9237,0.56621,1.26417,2.36026,1.22403,0.000736084,0.000736084,0.000736084
21,452.779,1.14758,1.03424,1.10165,0.14569,0.96774,0.91455,0.57182,1.20195,2.4405,1.19161,0.00074896,0.00074896,0.00074896
22,473.854,1.0639,0.96819,1.06178,1,0.35763,0.95952,0.56928,1.21413,2.30771,1.18695,0.00075946,0.00075946,0.00075946
23,494.93,1.23437,0.98864,1.14957,1,0.44373,0.93682,0.5699,1.30064,2.09628,1.2456,0.000767584,0.000767584,0.000767584
24,516.077,1.13277,0.93389,1.06972,1,0.77447,0.93682,0.55688,1.3245,1.87968,1.29075,0.000773332,0.000773332,0.000773332
25,537.069,1.05802,0.91711,1.0301,1,0.91278,0.96492,0.54262,1.32225,1.70643,1.30191,0.000776704,0.000776704,0.000776704
26,558.462,1.21761,1.00383,1.11832,1,0.90116,0.96491,0.55898,1.33711,1.6916,1.29968,0.0007777,0.0007777,0.0007777
27,579.938,1.08278,0.90846,1.0435,1,0.91622,0.96526,0.57061,1.33426,1.76504,1.28444,0.00077632,0.00077632,0.00077632
28,602.034,1.16204,0.93353,1.13464,1,0.86067,0.96414,0.566,1.32464,1.8497,1.27654,0.000772564,0.000772564,0.000772564
29,623.332,1.12112,0.89513,1.1062,1,0.86067,0.96414,0.566,1.32464,1.8497,1.27654,0.000766432,0.000766432,0.000766432
30,644.663,1.12702,0.88798,1.06841,1,0.79761,0.95551,0.57664,1.28128,1.83751,1.24045,0.000757924,0.000757924,0.000757924
31,666.202,1.09065,0.85806,1.04952,1,0.85697,0.95598,0.56782,1.27524,1.62533,1.24829,0.00074704,0.00074704,0.00074704
32,687.424,1.17016,0.92261,1.14554,1,0.88961,0.97514,0.5815,1.28646,1.42305,1.26618,0.00073378,0.00073378,0.00073378
33,708.41,1.13526,1.07988,1.14045,1,0.88961,0.97514,0.5815,1.28646,1.42305,1.26618,0.000718144,0.000718144,0.000718144
34,748.034,1.13119,0.88942,1.07869,0.96469,0.88143,0.98594,0.60258,1.27157,1.27956,1.26842,0.0006932,0.0006932,0.0006932
35,789.577,1.07239,0.80687,1.06967,0.96634,0.92618,0.9877,0.59899,1.27183,1.18283,1.29059,0.0006536,0.0006536,0.0006536
36,831.041,1.16283,0.90816,1.12708,0.99633,0.93548,0.9897,0.60642,1.27319,1.1243,1.29126,0.000614,0.000614,0.000614
37,873.663,1.11669,0.8497,1.06932,0.99633,0.93548,0.9897,0.60642,1.27319,1.1243,1.29126,0.0005744,0.0005744,0.0005744
38,914.768,1.06141,0.80673,1.06187,0.99744,0.93548,0.96365,0.60881,1.29145,1.0931,1.29307,0.0005348,0.0005348,0.0005348
39,955.621,1.01229,0.8371,1.08965,0.99739,0.93548,0.98234,0.60764,1.29338,1.06445,1.27569,0.0004952,0.0004952,0.0004952
40,997.242,0.9956,0.78242,1.06015,1,0.93448,0.98661,0.61451,1.30616,1.01124,1.27164,0.0004556,0.0004556,0.0004556
41,1039.55,0.93312,0.77057,1.03827,1,0.93448,0.98661,0.61451,1.30616,1.01124,1.27164,0.000416,0.000416,0.000416
42,1080.89,0.97778,0.81935,1.04282,0.99734,0.93548,0.98884,0.61703,1.30397,0.9487,1.27333,0.0003764,0.0003764,0.0003764
43,1121.88,0.99477,0.85961,1.04646,0.96765,0.96505,0.99221,0.6303,1.27958,0.92309,1.28829,0.0003368,0.0003368,0.0003368
44,1162.56,1.0392,0.89097,1.09909,0.99479,0.93548,0.99136,0.62293,1.27494,0.92024,1.29124,0.0002972,0.0002972,0.0002972
45,1202.79,0.93984,0.77317,1.02443,0.99479,0.93548,0.99136,0.62293,1.27494,0.92024,1.29124,0.0002576,0.0002576,0.0002576
46,1243.57,0.96689,0.78857,1.05355,0.98447,0.93548,0.99048,0.60416,1.27388,0.92634,1.29287,0.000218,0.000218,0.000218
