scenario_id,family,day_type,seed,espera_media_carros_agente,espera_media_pedestres_agente,espera_maxima_carros_agente,espera_maxima_pedestres_agente,espera_p95_carros_agente,espera_p95_pedestres_agente,violacoes_teto_carros_agente,violacoes_teto_pedestres_agente,fila_media_veh_ns_agente,fila_media_ped_l_agente,fila_media_ped_o_agente,throughput_total_carros_agente,throughput_total_pedestres_agente,espera_media_carros_baseline,espera_media_pedestres_baseline,espera_maxima_carros_baseline,espera_maxima_pedestres_baseline,espera_p95_carros_baseline,espera_p95_pedestres_baseline,violacoes_teto_carros_baseline,violacoes_teto_pedestres_baseline,fila_media_veh_ns_baseline,fila_media_ped_l_baseline,fila_media_ped_o_baseline,throughput_total_carros_baseline,throughput_total_pedestres_baseline,espera_media_carros_variacao_pct,espera_media_pedestres_variacao_pct,espera_maxima_carros_variacao_pct,violacoes_teto_carros_variacao_pct,violacoes_teto_pedestres_variacao_pct
baixa_mov_fds_seed1000,baixa_mov,fds,1000,4.73314929836669,7.1371822033898304,20.0,20.0,15.0,20.0,0.0,0.0,0.23813657407407407,0.2335648148148148,0.23449074074074075,4347.0,5664.0,7.368239355581128,17.33892321270962,35.0,50.0,30.0,50.0,0.0,0.0,0.3710069444444444,0.5575810185185185,0.5792824074074074,4345.0,5665.0,-35.8,-58.8,-42.9,,
baixa_mov_fds_seed1001,baixa_mov,fds,1001,4.570230607966457,7.1875,20.0,20.0,15.0,20.0,0.0,0.0,0.22708333333333333,0.23391203703703703,0.24027777777777778,4293.0,5696.0,7.135198135198135,17.22007722007722,35.0,50.0,30.0,50.0,0.0,0.0,0.3546296296296296,0.5652199074074075,0.5704282407407407,4290.0,5698.0,-35.9,-58.3,-42.9,,
baixa_mov_fds_seed1002,baixa_mov,fds,1002,4.839699863574352,7.224834552420759,20.0,20.0,15.0,20.0,0.0,0.0,0.24635416666666668,0.23859953703703704,0.24195601851851853,4398.0,5742.0,7.335077343039126,17.496953872932984,35.0,50.0,30.0,50.0,0.0,0.0,0.3736111111111111,0.5733217592592592,0.5901041666666667,4396.0,5745.0,-34.0,-58.7,-42.9,,
baixa_mov_fds_seed1003,baixa_mov,fds,1003,4.680130749474667,7.245325878035995,20.0,20.0,15.0,20.0,0.0,0.0,0.23200231481481481,0.23831018518518518,0.24224537037037036,4283.0,5723.0,7.222092480149463,17.350270647808625,35.0,50.0,30.0,50.0,0.0,0.0,0.3581018518518518,0.5773148148148148,0.5727430555555556,4282.0,5727.0,-35.2,-58.2,-42.9,,
baixa_mov_util_seed1000,baixa_mov,util,1000,5.066547477155344,7.246239228859355,20.0,20.0,15.0,20.0,0.0,0.0,0.29519675925925926,0.29050925925925924,0.2837384259259259,5034.0,6847.0,8.015699523052465,18.000584197458743,35.0,55.0,30.0,50.0,0.0,0.0,0.4670717592592592,0.7017361111111111,0.7247685185185185,5032.0,6847.0,-36.8,-59.7,-42.9,,
baixa_mov_util_seed1001,baixa_mov,util,1001,4.957420924574209,7.0499410724808484,20.0,25.0,15.0,20.0,0.0,0.0,0.2829861111111111,0.28020833333333334,0.2738425925925926,4932.0,6788.0,7.367193836171938,17.509942554131683,35.0,55.0,30.0,50.0,0.0,0.0,0.4205439814814815,0.6594328703703703,0.7164351851851852,4932.0,6789.0,-32.7,-59.7,-42.9,,
baixa_mov_util_seed1002,baixa_mov,util,1002,4.826340092350933,7.26544289044289,20.0,20.0,15.0,20.0,0.0,0.0,0.27824074074074073,0.28825231481481484,0.2890625,4981.0,6864.0,7.470883534136546,17.55935906773489,35.0,50.0,30.0,50.0,0.0,0.0,0.4307291666666666,0.7040509259259259,0.6911458333333333,4980.0,6865.0,-35.4,-58.6,-42.9,,
baixa_mov_util_seed1003,baixa_mov,util,1003,4.83916649807809,7.427546628407461,20.0,20.0,15.0,20.0,0.0,0.0,0.27685185185185185,0.290162037037037,0.3091435185185185,4943.0,6970.0,7.742914979757085,17.496055085353607,35.0,50.0,30.0,50.0,0.0,0.0,0.443287037037037,0.6895833333333333,0.7220486111111111,4940.0,6971.0,-37.5,-57.5,-42.9,,
equilibrado_fds_seed1000,equilibrado,fds,1000,6.163928539366191,7.661290322580645,30.0,30.0,15.0,20.0,0.0,0.0,0.794675925925926,0.6391782407407407,0.6255787037037037,11139.0,14260.0,9.064015083497935,19.14493058477072,35.0,50.0,30.0,50.0,0.0,0.0,1.1685185185185183,1.6030671296296295,1.557175925925926,11138.0,14262.0,-32.0,-60.0,-14.3,,
equilibrado_fds_seed1001,equilibrado,fds,1001,6.135142518896275,7.442936894919087,30.0,35.0,15.0,20.0,0.0,0.0,0.7797453703703704,0.6113425925925926,0.6083912037037037,10981.0,14151.0,9.171753986332574,18.79706152433425,40.0,55.0,30.0,50.0,0.0,0.0,1.1664930555555555,1.5452546296296297,1.5347222222222223,10975.0,14157.0,-33.1,-60.4,-25.0,,
