epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8259,1.58644,2.06989,1.24854,0.91384,0.22149,0.5668,0.24144,1.6754,2.57683,1.34721,0.00044,0.00044,0.00044
2,130.481,1.41792,1.12037,1.18842,0.6881,0.31323,0.35701,0.16248,1.67331,2.92611,1.47863,0.00089109,0.00089109,0.00089109
3,195.293,1.3266,0.97047,1.15395,0.91752,0.64523,0.7905,0.41159,1.58675,1.93124,1.35833,0.00133307,0.00133307,0.00133307
4,260.005,1.39317,0.95299,1.19879,0.83893,0.83384,0.87655,0.44168,1.65929,1.19166,1.37076,0.00176595,0.00176595,0.00176595
5,325.219,1.35922,0.91391,1.1858,0.85652,0.89327,0.91635,0.4909,1.44978,1.0768,1.31837,0.0019208,0.0019208,0.0019208
6,389.768,1.33995,0.83901,1.16503,0.90595,0.89095,0.93282,0.50609,1.47708,0.92438,1.30877,0.001901,0.001901,0.001901
7,455.589,1.31003,0.83698,1.15475,0.90234,0.92178,0.94228,0.53818,1.41055,0.82622,1.23715,0.0018812,0.0018812,0.0018812
8,520.336,1.22966,0.75678,1.11493,0.90819,0.91647,0.94455,0.52479,1.48191,0.82105,1.31774,0.0018614,0.0018614,0.0018614
9,584.904,1.24561,0.77586,1.13783,0.90244,0.90142,0.94089,0.54664,1.37077,0.74518,1.20907,0.0018416,0.0018416,0.0018416
10,649.894,1.19826,0.73291,1.09,0.92913,0.94432,0.95493,0.53534,1.39708,0.72927,1.25542,0.0018218,0.0018218,0.0018218
11,714.208,1.22841,0.72529,1.11601,0.91681,0.93503,0.9563,0.54358,1.38295,0.70068,1.21897,0.001802,0.001802,0.001802
12,776.269,1.1905,0.69793,1.09772,0.90849,0.92807,0.95912,0.54467,1.41195,0.7622,1.25845,0.0017822,0.0017822,0.0017822
13,840.675,1.24845,0.71911,1.13887,0.91424,0.91521,0.95498,0.54065,1.43433,0.73958,1.24123,0.0017624,0.0017624,0.0017624
14,904.792,1.21512,0.68834,1.10447,0.91572,0.95128,0.95502,0.55992,1.34559,0.67357,1.2008,0.0017426,0.0017426,0.0017426
15,969.385,1.19606,0.68583,1.09716,0.92844,0.87292,0.94979,0.569,1.36944,0.69055,1.20771,0.0017228,0.0017228,0.0017228
16,1033.43,1.20795,0.66277,1.1292,0.9134,0.95446,0.96077,0.56103,1.37224,0.70168,1.24274,0.001703,0.001703,0.001703
17,1096.87,1.17537,0.64833,1.09951,0.93604,0.95078,0.96513,0.56148,1.39146,0.6405,1.22972,0.0016832,0.0016832,0.0016832
18,1159.18,1.2163,0.665,1.10618,0.9273,0.93735,0.96268,0.54787,1.40078,0.64849,1.26692,0.0016634,0.0016634,0.0016634
19,1221.19,1.16115,0.63571,1.09054,0.93024,0.96752,0.9672,0.54956,1.36202,0.61885,1.22422,0.0016436,0.0016436,0.0016436
20,1282.64,1.17388,0.62389,1.08879,0.91907,0.96056,0.96029,0.55101,1.37284,0.64652,1.24688,0.0016238,0.0016238,0.0016238
21,1344.32,1.16292,0.61957,1.07905,0.93205,0.94664,0.96152,0.55983,1.38907,0.64639,1.22656,0.001604,0.001604,0.001604
22,1406.11,1.15758,0.62021,1.07576,0.94717,0.91508,0.95655,0.54806,1.40909,0.6274,1.25585,0.0015842,0.0015842,0.0015842
23,1468.38,1.1785,0.63294,1.10786,0.93187,0.96752,0.95631,0.55799,1.36855,0.61502,1.25392,0.0015644,0.0015644,0.0015644
24,1532.73,1.13931,0.59779,1.0729,0.88226,0.93884,0.94077,0.53293,1.37074,0.63007,1.23432,0.0015446,0.0015446,0.0015446
25,1597.13,1.14368,0.60949,1.08497,0.89777,0.95764,0.94407,0.56659,1.34684,0.63155,1.22848,0.0015248,0.0015248,0.0015248
26,1661.37,1.15548,0.60414,1.09491,0.91633,0.96056,0.95494,0.56832,1.37278,0.59777,1.22219,0.001505,0.001505,0.001505
27,1725.67,1.13867,0.59687,1.075,0.91791,0.96056,0.96216,0.57688,1.31863,0.58273,1.1958,0.0014852,0.0014852,0.0014852
28,1790.4,1.15868,0.59896,1.07845,0.89811,0.96118,0.94796,0.57225,1.34146,0.59127,1.21059,0.0014654,0.0014654,0.0014654
29,1854.54,1.14904,0.59318,1.08173,0.89984,0.93271,0.92932,0.5208,1.40072,0.62785,1.25475,0.0014456,0.0014456,0.0014456
30,1918.26,1.13138,0.58915,1.09037,0.92018,0.9536,0.95992,0.56915,1.36317,0.62033,1.22732,0.0014258,0.0014258,0.0014258
31,1982.12,1.11852,0.58873,1.06628,0.91965,0.94664,0.95034,0.56919,1.35109,0.59835,1.21376,0.001406,0.001406,0.001406
32,2045.78,1.14647,0.57743,1.08843,0.93782,0.95824,0.95232,0.56399,1.32731,0.5828,1.21422,0.0013862,0.0013862,0.0013862
33,2106.91,1.09001,0.56085,1.0601,0.92858,0.93519,0.95092,0.57759,1.35963,0.56693,1.20246,0.0013664,0.0013664,0.0013664
34,2168.44,1.10189,0.56282,1.06364,0.91114,0.94432,0.93428,0.55029,1.33581,0.58899,1.21896,0.0013466,0.0013466,0.0013466
35,2229.67,1.0879,0.55476,1.0506,0.91598,0.942,0.93809,0.55222,1.3984,0.57929,1.26194,0.0013268,0.0013268,0.0013268
36,2291.09,1.09043,0.57045,1.0612,0.91689,0.94706,0.96294,0.57847,1.35498,0.58264,1.22192,0.001307,0.001307,0.001307
